state,resources,deaths,finaldeaths
Alabama,17-Apr,19-Apr,5516
Alaska,15-Apr,14-Apr,148
Arizona,27-Apr,26-Apr,1387
Arkansas,26-Apr,26-Apr,619
California,26-Apr,26-Apr,5068
Colorado,17-Apr,18-Apr,2154
Connecticut,15-Apr,15-Apr,1144
Delaware,11-Apr,11-Apr,166
Florida,3-May,4-May,6897
Georgia,24-Apr,25-Apr,3232
Hawaii,3-May,1-May,372
Idaho,26-Apr,26-Apr,397
Illinois,20-Apr,20-Apr,3386
Indiana,19-Apr,20-Apr,1160
Iowa,1-May,1-May,1488
Kansas,28-Apr,26-Apr,640
Kentucky,16-May,13-May,821
Louisiana,9-Apr,10-Apr,1834
Maine,17-Apr,15-Apr,364
Maryland,29-Apr,28-Apr,1766
Massachusetts,16-Apr,17-Apr,2381
Michigan,9-Apr,11-Apr,3169
Minnesota,22-Apr,21-Apr,932
Mississippi,21-Apr,20-Apr,918
Missouri,21-May,18-May,1290
Montana,26-Apr,25-Apr,266
Nebraska,23-Apr,23-Apr,447
Nevada,20-Apr,18-Apr,799
New Hampshire,17-Apr,15-Apr,331
New Jersey,8-Apr,9-Apr,2117
New Mexico,24-Apr,22-Apr,525
New York,9-Apr,10-Apr,16261
North Carolina,26-Apr,27-Apr,1534
North Dakota,21-Apr,20-Apr,169
Ohio,19-Apr,19-Apr,1898
Oklahoma,23-Apr,23-Apr,1419
Oregon,5-May,2-May,558
Pennsylvania,18-Apr,19-Apr,2023
Rhode Island,20-Apr,16-Apr,259
South Carolina,28-Apr,28-Apr,1095
South Dakota,4-May,29-Apr,204
Tennessee,19-Apr,20-Apr,3422
Texas,6-May,6-May,6392
Utah,23-Apr,23-Apr,580
Vermont,9-Apr,2-Apr,58
Virginia,20-May,20-May,3152
Washington,11-Apr,9-Apr,978
West Virginia,4-May,1-May,487
Wisconsin,27-Apr,28-Apr,951
Wyoming,4-May,28-Apr,140
USA,15-Apr,16-Apr,93531
