no,state,obs,soft,hard
1,Alabama,318,3/18/2020,
2,Alaska,59,3/16/2020,
3,Arizona,182,3/13/2020,
4,Arkansas,340,3/17/2020,
5,California,950,3/17/2020,3/19/2020
6,Colorado,451,3/1/2020,3/26/2020
7,Connecticut,100,3/15/2020,3/23/2020
8,Delaware,38,3/15/2020,3/24/2020
9,District of Columbia,21,,
10,Florida,636,3/16/2020,
11,Georgia,855,3/18/2020,3/23/2020
12,Guam,13,,
13,Hawaii,65,3/17/2020,
14,Idaho,122,3/18/2020,3/25/2020
15,Illinois,412,3/13/2020,3/20/2020
16,Indiana,501,3/16/2020,3/24/2020
17,Iowa,290,3/17/2020,
18,Kansas,204,3/16/2020,
19,Kentucky,326,3/16/2020,
20,Louisiana,444,3/16/2020,3/22/2020
21,Maine,117,3/15/2020,3/25/2020
22,Maryland,245,3/16/2020,3/23/2020
23,Massachusetts,259,3/15/2020,
24,Michigan,429,3/16/2020,3/24/2020
25,Minnesota,362,3/17/2020,3/27/2020
26,Mississippi,503,,
27,Missouri,292,,
28,Montana,139,3/16/2020,
29,Nebraska,152,,
30,Nevada,96,3/17/2020,
31,New Hampshire,113,3/16/2020,3/17/2020
32,New Jersey,323,3/16/2020,3/21/2020
33,New Mexico,135,3/16/2020,3/22/2020
34,New York,625,3/16/2020,3/21/2020
35,North Carolina,503,3/17/2020,
36,North Dakota,84,,
37,Ohio,475,3/15/2020,3/22/2020
38,Oklahoma,232,,
39,Oregon,290,3/16/2020,
40,Pennsylvania,441,3/16/2020,
41,Puerto Rico,15,,
42,Rhode Island,42,3/17/2020,
43,South Carolina,370,3/18/2020,
44,South Dakota,145,,
45,Tennessee,465,,
46,Texas,717,,
47,Utah,175,3/16/2020,
48,Vermont,124,3/18/2020,3/24/2020
49,Virgin Islands,14,,
50,Virginia,492,3/17/2020,
51,Washington,547,3/15/2020,
52,West Virginia,105,,3/25/2020
53,Wisconsin,383,3/17/2020,3/25/2020
54,Wyoming,100,,
